feature,importance
lines_changed_90d,0.22240736433844568
files_modified_90d,0.10603139190921718
commits_90d,0.07007014290686431
avg_commits_per_day,0.06837873643814209
avg_gap_days,0.06673522379771879
gap_consistency,0.061914307403869114
days_span_90d,0.05968556954784617
max_gap_days,0.05870999454363065
active_days_90d,0.046037593779486435
commit_frequency_std,0.03721291671108286
month2_commits,0.03223202709067981
month3_commits,0.03109113244880687
max_commits_single_day,0.03098024172482607
early_commits_pct,0.029619173170697156
avg_commits_per_active_day,0.028788798528364933
month1_commits,0.02742028380209838
late_commits_pct,0.022685101858223474
