group,feature,correlation,abs_correlation,p_value,n,n_core
OSS,active_days_90d,0.33576548733343886,0.33576548733343886,0.0,15858,4914
OSS,commits_90d,0.2278213637015108,0.2278213637015108,8.591527553578148e-186,15858,4914
OSS,avg_commits_per_day,0.2278213637015108,0.2278213637015108,8.591527553578148e-186,15858,4914
OSS,max_commits_single_day,0.22714710447740666,0.22714710447740666,1.1200062955260376e-184,15858,4914
OSS,month1_commits,0.2146252066691528,0.2146252066691528,1.2536869198664966e-164,15858,4914
OSS,commit_frequency_std,0.2139813406800578,0.2139813406800578,1.2456629714713768e-163,15858,4914
OSS,days_span_90d,0.20607448446008853,0.20607448446008853,1.1891375363783186e-151,15858,4914
OSS,month2_commits,0.20489419497375366,0.20489419497375366,6.629148179765981e-150,15858,4914
OSS,avg_commits_per_active_day,0.19612751208557794,0.19612751208557794,2.833495220271937e-137,15858,4914
OSS,month3_commits,0.18647294390742972,0.18647294390742972,4.740644466586037e-124,15858,4914
OSS,early_commits_pct,-0.1848935684287598,0.1848935684287598,5.903332761271036e-122,15858,4914
OSS,gap_consistency,-0.1543823785336399,0.1543823785336399,3.5985054721258975e-85,15858,4914
OSS,late_commits_pct,0.14077165831056038,0.14077165831056038,5.449841139657695e-71,15858,4914
OSS,files_modified_90d,0.10241406511538953,0.10241406511538953,3.054267253233348e-38,15858,4914
OSS,avg_gap_days,-0.09032209079070364,0.09032209079070364,4.351055758114598e-30,15858,4914
OSS,lines_changed_90d,0.054750217267845104,0.054750217267845104,5.2278949245811524e-12,15858,4914
OSS,max_gap_days,0.014384680079714296,0.014384680079714296,0.07008006363765605,15858,4914
OSS4SG,active_days_90d,0.38702869244677013,0.38702869244677013,2.2903242048330638e-256,7211,3131
OSS4SG,commits_90d,0.2926454276527641,0.2926454276527641,2.2424144643939646e-142,7211,3131
OSS4SG,avg_commits_per_day,0.2926454276527641,0.2926454276527641,2.2424144643939646e-142,7211,3131
OSS4SG,max_commits_single_day,0.28820635076509893,0.28820635076509893,5.827877987765866e-138,7211,3131
OSS4SG,commit_frequency_std,0.2806245596962769,0.2806245596962769,1.3262277719099767e-130,7211,3131
OSS4SG,days_span_90d,0.27764378338288187,0.27764378338288187,8.960451450674195e-128,7211,3131
OSS4SG,month3_commits,0.27488519988184723,0.27488519988184723,3.465842530530598e-125,7211,3131
OSS4SG,month1_commits,0.25459405782458816,0.25459405782458816,4.5833523663353875e-107,7211,3131
OSS4SG,avg_commits_per_active_day,0.2535427563785318,0.2535427563785318,3.605211770883811e-106,7211,3131
OSS4SG,month2_commits,0.24681719698459736,0.24681719698459736,1.542758759617139e-100,7211,3131
OSS4SG,early_commits_pct,-0.24558434520661931,0.24558434520661931,1.5925015453545174e-99,7211,3131
OSS4SG,late_commits_pct,0.18203921717693014,0.18203921717693014,9.05618824261516e-55,7211,3131
OSS4SG,gap_consistency,-0.13550327356487096,0.13550327356487096,6.728766863103764e-31,7211,3131
OSS4SG,avg_gap_days,-0.11985245509076674,0.11985245509076674,1.740457207983836e-24,7211,3131
OSS4SG,files_modified_90d,0.08569140948620665,0.08569140948620665,3.1259462065737785e-13,7211,3131
OSS4SG,lines_changed_90d,0.06844162191805403,0.06844162191805403,5.96580265701202e-09,7211,3131
OSS4SG,max_gap_days,-0.0034873534504483578,0.0034873534504483578,0.7671634339115844,7211,3131
