group,feature,perm_importance_mean,perm_importance_std,n,n_core
OSS,lines_changed_90d,0.2121950760314247,0.0023170921694541232,15858,4914
OSS,files_modified_90d,0.11734428664253224,0.0014522937213937337,15858,4914
OSS,avg_gap_days,0.020695719667759127,0.00035711071165710375,15858,4914
OSS,gap_consistency,0.01778168656595196,0.0002550955972119641,15858,4914
OSS,days_span_90d,0.017663330483140404,0.0004512776251407212,15858,4914
OSS,max_gap_days,0.014906814794881373,0.00031469891364023663,15858,4914
OSS,commits_90d,0.013254284921408488,0.0007127112237338047,15858,4914
OSS,avg_commits_per_active_day,0.01259671559150729,0.00041672731682372793,15858,4914
OSS,avg_commits_per_day,0.010768064324807768,0.0005801981696297606,15858,4914
OSS,commit_frequency_std,0.010140157232171132,0.00030549042799873856,15858,4914
OSS,active_days_90d,0.008501474818634914,0.0006194273673471566,15858,4914
OSS,month1_commits,0.008114464624881301,0.0004898455017597756,15858,4914
OSS,max_commits_single_day,0.007305100394921271,0.0003572170222659245,15858,4914
OSS,early_commits_pct,0.0066123824667318806,0.00013342275329355024,15858,4914
OSS,month2_commits,0.005448015999459699,0.00022782808052953987,15858,4914
OSS,late_commits_pct,0.0053200706389668565,8.215393576959026e-05,15858,4914
OSS,month3_commits,0.004535875241284615,0.00013324680267994484,15858,4914
OSS4SG,lines_changed_90d,0.10597062659301978,0.002704132631674649,7211,3131
OSS4SG,files_modified_90d,0.08340661615971838,0.0015052439671193122,7211,3131
OSS4SG,avg_gap_days,0.014040853326319314,0.00026993564351073375,7211,3131
OSS4SG,gap_consistency,0.01243343368966877,0.0002882113437239063,7211,3131
OSS4SG,avg_commits_per_active_day,0.010567631715733227,0.0003339973362710705,7211,3131
OSS4SG,days_span_90d,0.01036315372523965,0.00043720582108816705,7211,3131
OSS4SG,max_gap_days,0.00835320498368618,0.00022716246549930508,7211,3131
OSS4SG,commit_frequency_std,0.008000204313600235,0.0004429479602527204,7211,3131
OSS4SG,commits_90d,0.00680350198207671,0.0004459797693579854,7211,3131
OSS4SG,month2_commits,0.006522465102297659,0.00011836320299869319,7211,3131
OSS4SG,max_commits_single_day,0.005629555958442112,0.00022777459601142614,7211,3131
OSS4SG,early_commits_pct,0.005534514907847521,0.00010091519802533195,7211,3131
OSS4SG,avg_commits_per_day,0.005446695286226844,0.0005242965269874611,7211,3131
OSS4SG,late_commits_pct,0.005322643270019601,9.321844461849365e-05,7211,3131
OSS4SG,active_days_90d,0.005250612940800659,0.00044569262304936734,7211,3131
OSS4SG,month3_commits,0.005119272956707421,0.00014015146327989977,7211,3131
OSS4SG,month1_commits,0.00412879036954924,0.000450749827026994,7211,3131
