feature,Combined_corr,Combined_rank,OSS_corr,OSS_rank,OSS4SG_corr,OSS4SG_rank,rank_diff_OSS_OSS4SG
active_weeks_count,0.29177817920641874,1,,1,0.3090203889799052,1,0
activity_rate,0.29177817920641874,2,,2,0.3090203889799052,2,0
longest_inactive_streak,-0.24703100685804585,3,,3,-0.24963219324820812,3,0
activity_regularity,0.06503617560555082,4,,4,0.03608619617927058,4,0
month1_commits,0.007918932284605131,5,,5,-0.05333898519458131,5,0
month2_commits,0.3572420515693215,6,,6,0.36760543292656533,6,0
month3_commits,0.4445046776520697,7,,7,0.4683143022181439,7,0
acceleration_rate,0.31066671960978165,8,,8,0.3407001769341653,8,0
sustained_growth,0.9999999999999999,9,,9,1.0,9,0
trend_slope,0.3542368836570176,10,,10,0.37385898860130046,10,0
trend_r2,0.24616461406674103,11,,11,0.24145059680500658,11,0
total_commits_90d,0.3111343147864695,12,,12,0.3411294160732452,12,0
peak_week_commits,0.3109044285092121,13,,13,0.34120387228785237,13,0
total_lines_changed_90d,0.2144086998935694,14,,14,0.21217956790352838,14,0
avg_commits_when_active,0.29421989623981193,15,,15,0.3190209106107757,15,0
avg_lines_per_commit,0.11503640008631974,16,,16,0.0777991748979604,16,0
burst_ratio,0.13103542754735692,17,,17,0.1345420128568796,17,0
weeks_to_first_commit,0.13598447831502689,18,,18,0.11321953883825545,18,0
relative_productivity,0.30942866048949086,19,,19,0.3411294160732452,19,0
final_contribution_pct,0.3084985511145417,20,,20,0.3395036125144816,20,0
max_contribution_pct,0.3084944722533079,21,,21,0.3394954602864482,21,0
early_vs_late_ratio,-0.3010127571859374,22,,22,-0.3272808796127667,22,0
