feature,correlation,p_value,mutual_info,effect_size,abs_correlation,mean_core,mean_non_core
sustained_growth,1.0,0.0,0.17876005026787034,-1.0,1.0,1.0,0.0
month3_commits,0.4683143022181439,0.0006039961252317203,0.1387600502678703,-1.0,0.4683143022181439,62.0,1.1666666666666667
trend_slope,0.37385898860130046,0.007484890289015229,0.17876005026787034,-1.0,0.37385898860130046,1.4615384615384617,-0.09913003663003665
month2_commits,0.36760543292656533,0.008632461062131148,0.03958410676658808,-0.9583333333333333,0.36760543292656533,23.0,1.6666666666666667
peak_week_commits,0.34120387228785237,0.015312024816693198,0.0829174400999213,-1.0,0.34120387228785237,35.0,6.208333333333333
total_commits_90d,0.3411294160732452,0.015335800953293432,0.1387600502678703,-1.0,0.3411294160732452,90.5,10.833333333333334
relative_productivity,0.3411294160732452,0.015335800953293432,0.17876005026787034,-1.0,0.3411294160732452,8.61904761904762,1.0317460317460316
acceleration_rate,0.3407001769341653,0.01547348454019346,0.1220933836012037,-1.0,0.3407001769341653,8.904761904761905,-0.682968376706283
final_contribution_pct,0.3395036125144816,0.015862869835520432,0.1387600502678703,-1.0,0.3395036125144816,3.7291,0.5026666666666667
max_contribution_pct,0.3394954602864482,0.015865551078573525,0.17876005026787034,-1.0,0.3394954602864482,3.73375,0.520025
early_vs_late_ratio,-0.3272808796127667,0.0203415206387974,0.07542671693453706,0.9583333333333334,0.3272808796127667,0.18434134217067108,7.263808961506331
avg_commits_when_active,0.3190209106107757,0.02393791687927684,0.07709338360120377,-0.9375,0.3190209106107757,14.023809523809524,4.5256944444444445
activity_rate,0.3090203889799052,0.02899241365118415,0.06876005026787035,-0.8854166666666667,0.3090203889799052,0.5,0.22115384615384617
active_weeks_count,0.3090203889799052,0.02899241365118415,0.05376005026787034,-0.8854166666666667,0.3090203889799052,6.5,2.875
longest_inactive_streak,-0.24963219324820812,0.08040919355461773,0.012566105323925436,0.71875,0.24963219324820812,4.5,9.0625
trend_r2,0.24145059680500658,0.09117626009370335,0.00745972298043962,-0.6458333333333333,0.24145059680500658,0.39641941427118,0.1060740332277067
total_lines_changed_90d,0.21217956790352838,0.13906273917943368,0.0,-0.625,0.21217956790352838,299844.5,130581.39583333333
burst_ratio,0.1345420128568796,0.3515753451896767,0.0,-0.39583333333333326,0.1345420128568796,4.37156862745098,3.2361932780007927
weeks_to_first_commit,0.11321953883825545,0.43371162970054744,0.0,-0.33333333333333326,0.11321953883825545,200.0,171.375
avg_lines_per_commit,0.0777991748979604,0.5912509403527628,0.0009983035614149482,-0.22916666666666674,0.0777991748979604,3364.4413165608207,18431.526933248362
month1_commits,-0.05333898519458131,0.7129581600932218,0.011298289806109807,0.15625,0.05333898519458131,5.5,8.0
activity_regularity,0.03608619617927058,0.8035193587668494,0.0,-0.10416666666666674,0.03608619617927058,0.5512145627092527,0.40245974804756424
